"AQI_Bucket","PM2.5","AQI"
"Severe","82.52","556"
"Severe","72.11","669"
"Severe","78.48","1217"
"Severe","103.22","1033"
"Severe","70.39","625"
"Severe","107.9","803"
"Severe","117.08","741"
"Severe","162.18","776"
"Severe","205.21","1630"
"Severe","165.37","1160"
"Severe","110.7","1056"
"Severe","143.72","1256"
"Severe","91.56","1154"
"Severe","133.13","1548"
"Severe","143.52","820"
"Severe","83.28","688"
"Severe","75.58","595"
"Severe","93.73","1354"
"Severe","127.46","1672"
"Severe","98.6","1472"
"Severe","84.71","1295"
"Severe","86.52","1646"
"Severe","90.1","1329"
"Severe","68.52","530"
"Severe","86.43","798"
"Severe","70.51","689"
"Severe","78.48","413"
"Severe","63.75","415"
"Poor","68.3","228"
"Very Poor","91.23","392"
"Severe","92.74","657"
"Severe","96.58","657"
"Severe","91.37","702"
"Severe","88.02","488"
"Severe","96.82","605"
"Severe","96.89","687"
"Severe","109.2","714"
"Severe","94.95","667"
"Severe","75.42","423"
"Severe","73.07","417"
"Severe","98.25","1158"
"Severe","118.16","938"
"Severe","95.4","920"
"Very Poor","70.04","336"
"Poor","56.71","275"
"Moderate","59.4","191"
"Moderate","54.75","172"
"Moderate","62.18","198"
"Very Poor","238.42","381"
"Severe","125.16","800"
"Severe","106.45","967"
"Severe","92.45","978"
"Severe","111.75","1558"
"Severe","106.19","1300"
"Very Poor","72.1","355"
"Very Poor","79.15","370"
"Severe","94.8","448"
"Severe","80.14","1084"
"Severe","89.14","1319"
"Very Poor","68.29","379"
"Very Poor","67.75","396"
"Severe","80.54","744"
"Severe","110.71","1474"
"Severe","147.57","1246"
"Severe","131.5","1719"
"Severe","102.12","1264"
"Severe","115","1127"
"Severe","84.84","908"
"Poor","74.62","236"
"Very Poor","89.72","313"
"Severe","84.03","471"
"Severe","82.79","661"
"Severe","76.38","711"
"Severe","66.01","854"
"Severe","116.42","1258"
"Severe","75.49","407"
"Moderate","66.97","172"
"Moderate","161.09","116"
"Severe","124.45","1302"
"Severe","95.15","1275"
"Severe","73.58","527"
"Severe","86.32","839"
"Severe","149.26","1537"
"Severe","70.06","547"
"Severe","86.59","716"
"Severe","74.12","464"
"Very Poor","52.92","302"
"Poor","47.26","260"
"Severe","52.79","430"
"Severe","63.68","477"
"Severe","73.37","491"
"Severe","55.24","470"
"Severe","83.1","847"
"Severe","76.87","559"
"Very Poor","47.01","334"
"Very Poor","54.77","346"
"Severe","103.13","529"
"Severe","117.59","1261"
"Poor","50.15","254"
"Very Poor","94.1","308"
"Poor","105.03","290"
"Very Poor","46.5","340"
